AcresBurned,Latitude,Longitude,Started,UniqueID,StationDistance,StationID,Total ETo (in),Total Precip (in),Avg Sol Rad (Ly/day),Avg Vap Pres (mBars),Avg Max Air Temp (F),Avg Min Air Temp (F),Avg Air Temp (F),Avg Max Rel Hum (%),Avg Min Rel Hum (%),Avg Rel Hum (%),Avg Dew Point (F),Avg Wind Speed (mph),Avg Soil Temp (F)
47,33.57872,-117.77395,Jun 2016,c27c5212-1891-4105-86ee-9f97016ef159,8.401396988,75,5.77,0,558,16.4,79.7,59.8,68.3,93,50,71,58.3,3.8,72.9
46,34.149,-117.189,Jul 2017,826b4661-020b-425d-84ec-9426c39839e7,2.560247547,251,8,2.46,609,16.5,96.8,66,80.7,75,26,47,57.9,4.4,77.5
45,33.9885,-117.38417,Dec 2017,e32c7957-8f4f-4ec1-a0f6-98085a2a7e89,3.639300631,44,3.09,0,234,4.9,73.4,45.8,58.4,51,16,30,24.5,4,52.5
45,38.980846,-123.067671,Jul 2013,f1d7f375-8aa3-4cb5-a864-bae9bb90cbd1,1.495819275,106,8.58,0,753,14.1,91.1,52.1,71.3,86,31,54,53.6,4.2,75
45,34.27619,-118.63264,Jul 2016,174608a2-14fd-4278-9811-cb7e5e5a3883,4.358631719,219,7.82,0,665,14.5,94.4,62.2,76.7,82,24,49,54.6,2.6,81.8
45,37.86339,-122.12351,Jul 2018,f7bacdf4-ba33-436a-ad94-549395286fc2,2.139306111,178,7.28,0.3,668,14.1,82,55.3,66.1,93,38,65,53.7,5.4,71.2
45,33.69078,-114.57265,May 2019,e354cde8-d0e6-4150-9f6b-1c12045e77d0,2.171511804,135,nan,0,670,10.6,88.1,56,72.7,71,21,39,46,6.2,85.1
45,38.5212,-120.8416,Sep 2016,0bf08653-1441-4e73-b24b-1296afb12b45,3.023030162,227,5.37,13.7,478,8.9,82,51.9,66.8,68,21,41,41.1,3.3,68.7
42,41.38247,-120.53443,Jun 2017,7967c729-4693-47a1-b1bc-1d82825ca8db,5.360890574,90,6.79,0.88,640,10,77.7,42.8,61.2,90,31,54,44.2,4.4,65.7
42,40.10282,-122.27379,Jun 2017,982c81ca-ebe5-4591-986d-1f3e2e4cc13c,9.614465884,222,8.67,0.26,677,15.1,91.4,61.9,77,81,29,49,55.1,6,72.8
42,34.055768,-118.554091,Oct 2019,24eb323e-b97f-4087-886b-7efae8937bae,5.385208981,99,4.57,0,448,10.9,78.2,57.4,67.1,77,30,55,47.4,3.4,64.8
41,34.10446,-118.70294,Jun 2017,6f2f8dc0-b930-435e-a622-d3585dcac067,8.569888352,219,6.77,0.37,660,14.5,89.6,58.8,73,84,33,54,54.5,1.5,73.5
40,33.570291,-116.10815,Aug 2013,f23f8148-6ec4-4885-9729-0dad7c744485,3.867272423,218,8.6,0,565,17.6,101.7,71.9,88.2,67,24,40,58.4,5.6,79.6
40,33.96514,-117.4764,Dec 2017,c425ed8d-1aab-44c8-bc03-39675ad2b0d2,9.619989701,44,3.09,0,234,4.9,73.4,45.8,58.4,51,16,30,24.5,4,52.5
40,33.9634,-117.2508,Jul 2013,8fb3a438-3146-4b8d-8f20-bfa8d6610f84,5.947371802,44,7.13,0.35,594,15.3,89.5,64.1,75.4,74,31,51,55.6,4,74.6
40,38.01264,-122.1885,Jul 2016,416155ea-f8ff-43cf-abf0-e888584bf5bc,9.665471628,213,4.98,0.19,556,13.3,65.2,51.8,57.1,95,69,84,52.2,6.6,65.9
